GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spotbugs-maven-plugin,com.github.spotbugs.spotbugs_maven_plugin,HelpMojo,773,0,112,0,156,0,72,0,16,0
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,SpotbugsReportGenerator._assembleJxrHyperlink_closure3,76,0,4,0,5,0,5,0,3,0
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,SpotbugsReportGenerator._assembleJxrHyperlink_closure4,76,0,4,0,5,0,5,0,3,0
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,BaseViolationCheckMojo._walkFiles_closure4._closure7,22,0,0,0,1,0,3,0,3,0
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,SpotBugsGui._execute_closure1._closure3._closure4,61,0,6,0,3,0,6,0,3,0
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,SpotBugsMojo,3133,15,291,1,374,3,164,2,18,2
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,SpotBugsGui._execute_closure1._closure3,18,0,0,0,1,0,3,0,3,0
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,SpotBugsMojo._executeSpotbugs_closure15._closure24._closure27,53,0,2,0,3,0,4,0,3,0
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,ResourceHelper._getResourceAsFile_closure1,0,24,0,0,0,1,0,3,0,3
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,SpotBugsGui._execute_closure1._closure2,51,0,2,0,3,0,4,0,3,0
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,BaseViolationCheckMojo,652,16,63,1,65,4,36,1,4,1
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,XDocsReporter._generateReport_closure1._closure2._closure3,60,32,2,2,4,5,2,3,0,3
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,XDocsReporter._generateReport_closure1._closure2,32,62,1,1,1,6,1,3,0,3
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,ResourceHelper,59,301,10,12,5,33,10,6,0,5
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,XDocsReporter._generateReport_closure1._closure2._closure4,61,7,2,0,3,0,2,2,1,2
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,XDocsReporter._generateReport_closure1._closure2._closure5,0,39,0,0,0,3,0,3,0,3
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,XDocsReporter._generateReport_closure1._closure2._closure6,2,51,2,2,1,5,2,3,0,3
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,SpotBugsMojo._createSpotbugsAuxClasspathFile_closure14,35,0,2,0,3,0,4,0,3,0
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,SpotBugsMojo._createSpotbugsAuxClasspathFile_closure13,17,0,0,0,1,0,3,0,3,0
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,SourceFileIndexer,41,286,12,22,4,40,12,9,0,4
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,SpotBugsMojo._executeSpotbugs_closure20,16,0,0,0,1,0,3,0,3,0
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,XDocsReporter._generateReport_closure1,26,64,1,1,1,4,1,3,0,3
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,BaseViolationCheckMojo._execute_closure1,117,0,18,0,11,0,12,0,3,0
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,XDocsReporter._generateReport_closure1._closure2._closure4._closure7,25,0,0,0,1,0,3,0,3,0
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,SpotBugsMojo._executeSpotbugs_closure19._closure29,18,0,0,0,1,0,3,0,3,0
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,SpotBugsPluginsTrait.Trait.Helper._getSpotbugsPlugins_closure1,110,0,6,0,7,0,6,0,3,0
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,SpotBugsPluginsTrait.Trait.Helper._getSpotbugsPlugins_closure2,165,0,8,0,11,0,7,0,3,0
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,SpotBugsMojo._executeSpotbugs_closure22,18,0,0,0,1,0,3,0,3,0
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,SpotBugsMojo._executeSpotbugs_closure21,19,0,0,0,1,0,3,0,3,0
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,SpotBugsMojo._executeSpotbugs_closure19,30,0,0,0,1,0,3,0,3,0
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,SpotBugsGui,240,0,18,0,20,0,13,0,4,0
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,SpotBugsMojo._executeSpotbugs_closure18,30,0,0,0,1,0,3,0,3,0
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,SpotBugsMojo._canGenerateReport_closure1,47,0,12,0,3,0,9,0,3,0
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,SpotBugsMojo._canGenerateReport_closure2,11,0,0,0,1,0,3,0,3,0
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,SpotBugsMojo._executeSpotbugs_closure18._closure28,18,0,0,0,1,0,3,0,3,0
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,ResourceHelper._getResourceAsFile_closure1._closure2._closure3._closure4,0,18,0,0,0,1,0,3,0,3
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,SpotBugsMojo._getSpotbugsArgs_closure4,35,0,2,0,2,0,4,0,3,0
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,ResourceHelper._getResourceAsFile_closure1._closure2,0,32,0,0,0,1,0,3,0,3
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,SpotBugsMojo._getSpotbugsArgs_closure5,36,0,0,0,2,0,3,0,3,0
spotbugs-maven-plugin,org.codehaus.mojo.spotbugs,SpotbugsReportGenerator._printBug_closure2,65,198,4,4,5,28,4,3,0,3
